Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Preferred_dividend,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-08-31,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.06,10.1,-0.04,False
2015-09-01,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.12,10.06,0.06,True
2015-09-02,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.6,10.12,-0.52,False
2015-09-03,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.6,9.6,0.0,False
2015-09-04,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.39,9.6,-0.21,False
2015-09-05,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.39,9.39,0.0,False
2015-09-06,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.39,9.39,0.0,False
2015-09-07,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.25,9.39,-0.14,False
2015-09-08,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.49,9.25,0.24,True
2015-09-09,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,9.6,9.49,0.11,True
