,Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,time,senti_score_exp,Senti_headline,Predict_RF
144,2016-06-01,1,14,52,37,145,0.904837418,2,0
145,2016-07-01,1,13,52,32,146,0.740818221,3,0
146,2016-08-01,1,13,49,34,147,0.904837418,2,0
147,2016-09-01,1,14,49,40,148,1.491824698,3,0
148,2016-10-01,2,13,50,40,149,1.349858808,3,0
149,2016-11-01,2,13,47,40,150,1.221402758,3,0
150,2016-12-01,29,28,51,33,151,1.648721271,5,0
151,2017-01-01,55,36,48,37,152,1.221402758,2,0
152,2017-02-01,61,34,47,41,153,1.105170918,4,0
153,2017-03-01,73,38,48,41,154,1.349858808,2,0
154,2017-04-01,81,38,50,38,155,1.491824698,2,0
155,2017-05-01,88,39,52,36,156,1.105170918,1,0
156,2017-06-01,94,39,53,34,157,1.221402758,2,0
157,2017-07-01,100,37,53,31,158,1.105170918,2,0
158,2017-08-01,78,38,51,31,159,1.221402758,3,0
159,2017-09-01,74,40,48,38,160,1.221402758,2,0
